(frozenset({'一般車道(未劃分快慢車道)', '女', '直路', '普通重型機車'}), frozenset({'晴', '平日'}), 1009, 0.5540911587040088)
(frozenset({'一般車道(未劃分快慢車道)', '女', '晴', '普通重型機車', '平日'}), frozenset({'直路'}), 1009, 0.8992869875222816)
(frozenset({'一般車道(未劃分快慢車道)', '女', '晴', '普通重型機車'}), frozenset({'平日', '直路'}), 1009, 0.7391941391941392)
(frozenset({'一般車道(未劃分快慢車道)', '女', '晴', '直路', '普通重型機車'}), frozenset({'平日'}), 1009, 0.8277276456111566)
(frozenset({'女', '四岔路', '普通重型機車', '平日', '交叉路口內'}), frozenset({'晴'}), 1031, 0.6769533814839134)
(frozenset({'女', '四岔路', '普通重型機車', '交叉路口內'}), frozenset({'晴', '平日'}), 1031, 0.5289892252437147)
(frozenset({'女', '四岔路', '普通重型機車', '平日'}), frozenset({'晴', '交叉路口內'}), 1031, 0.5061364752086401)
(frozenset({'女', '晴', '普通重型機車', '平日', '交叉路口內'}), frozenset({'四岔路'}), 1031, 0.6387856257744734)
(frozenset({'女', '晴', '普通重型機車', '交叉路口內'}), frozenset({'平日', '四岔路'}), 1031, 0.5041564792176039)
(frozenset({'女', '晴', '四岔路', '普通重型機車', '交叉路口內'}), frozenset({'平日'}), 1031, 0.781060606060606)
(frozenset({'女', '晴', '四岔路', '普通重型機車'}), frozenset({'平日', '交叉路口內'}), 1031, 0.5851305334846765)
(frozenset({'女', '晴', '四岔路', '普通重型機車', '平日'}), frozenset({'交叉路口內'}), 1031, 0.7401292175161522)
(frozenset({'40-60歲', '晴', '直路', '男', '平日'}), frozenset({'一般車道(未劃分快慢車道)'}), 1503, 0.7965023847376789)
(frozenset({'40-60歲', '直路', '男', '平日'}), frozenset({'晴', '一般車道(未劃分快慢車道)'}), 1503, 0.5493421052631579)
(frozenset({'40-60歲', '晴', '直路', '平日'}), frozenset({'男', '一般車道(未劃分快慢車道)'}), 1503, 0.5585284280936454)
(frozenset({'40-60歲', '晴', '直路', '男'}), frozenset({'平日', '一般車道(未劃分快慢車道)'}), 1503, 0.6257285595337219)
(frozenset({'一般車道(未劃分快慢車道)', '40-60歲', '直路', '男', '平日'}), frozenset({'晴'}), 1503, 0.6907169117647058)
(frozenset({'一般車道(未劃分快慢車道)', '40-60歲', '男', '平日'}), frozenset({'晴', '直路'}), 1503, 0.6147239263803681)
(frozenset({'一般車道(未劃分快慢車道)', '40-60歲', '直路', '男'}), frozenset({'晴', '平日'}), 1503, 0.5348754448398576)
(frozenset({'一般車道(未劃分快慢車道)', '40-60歲', '晴', '男', '平日'}), frozenset({'直路'}), 1503, 0.879976580796253)
(frozenset({'一般車道(未劃分快慢車道)', '40-60歲', '晴', '平日'}), frozenset({'男', '直路'}), 1503, 0.6144726083401472)
(frozenset({'一般車道(未劃分快慢車道)', '40-60歲', '晴', '男'}), frozenset({'平日', '直路'}), 1503, 0.6919889502762431)
(frozenset({'一般車道(未劃分快慢車道)', '40-60歲', '晴', '直路', '平日'}), frozenset({'男'}), 1503, 0.7023364485981308)
(frozenset({'一般車道(未劃分快慢車道)', '40-60歲', '晴', '直路'}), frozenset({'男', '平日'}), 1503, 0.5505494505494506)
(frozenset({'一般車道(未劃分快慢車道)', '40-60歲', '晴', '直路', '男'}), frozenset({'平日'}), 1503, 0.7836287799791449)
(frozenset({'40-60歲', '四岔路', '男', '平日', '交叉路口內'}), frozenset({'晴'}), 1351, 0.6504573904670198)
(frozenset({'40-60歲', '晴', '男', '平日', '交叉路口內'}), frozenset({'四岔路'}), 1351, 0.6277881040892194)
(frozenset({'40-60歲', '晴', '四岔路', '平日', '交叉路口內'}), frozenset({'男'}), 1351, 0.6738154613466334)
(frozenset({'40-60歲', '晴', '四岔路', '交叉路口內'}), frozenset({'男', '平日'}), 1351, 0.5103891197582169)
(frozenset({'40-60歲', '晴', '四岔路', '男', '交叉路口內'}), frozenset({'平日'}), 1351, 0.7439427312775331)
(frozenset({'40-60歲', '晴', '四岔路', '男'}), frozenset({'平日', '交叉路口內'}), 1351, 0.539752297243308)
(frozenset({'40-60歲', '晴', '四岔路', '男', '平日'}), frozenset({'交叉路口內'}), 1351, 0.7077003666841278)
(frozenset({'一般車道(未劃分快慢車道)', '直路', '普通重型機車', '平日', '早上'}), frozenset({'20-40歲'}), 1015, 0.5513307984790875)
(frozenset({'20-40歲', '直路', '普通重型機車', '平日', '早上'}), frozenset({'一般車道(未劃分快慢車道)'}), 1015, 0.7862122385747483)
(frozenset({'20-40歲', '直路', '平日', '早上'}), frozenset({'普通重型機車', '一般車道(未劃分快慢車道)'}), 1015, 0.5294731351069379)
(frozenset({'20-40歲', '直路', '普通重型機車', '早上'}), frozenset({'平日', '一般車道(未劃分快慢車道)'}), 1015, 0.6651376146788991)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '普通重型機車', '平日', '早上'}), frozenset({'直路'}), 1015, 0.8934859154929577)
