發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,天候,速限,道路型態,事故位置
106,9,13,16,15,2,07信義區,信義區富陽街72巷13號與富陽街口旁,0,2,1,C03,2,46,2,6,40,3,2
106,9,13,16,15,2,07信義區,信義區富陽街72巷13號與富陽街口旁,0,2,2,C03,1,26,2,6,40,3,2
106,9,19,16,41,2,07信義區,信義區林口街38巷與林口街口口,0,1,1,B03,1,52,3,8,30,4,1
106,9,19,16,41,2,07信義區,信義區林口街38巷與林口街口口,0,1,2,C03,1,27,2,8,30,4,1
106,9,24,18,30,2,07信義區,信義區永吉路336號前,0,1,1,C03,1,21,2,8,50,14,8
106,9,24,18,30,2,07信義區,信義區永吉路336號前,0,1,2,B03,1,50,3,8,50,14,8
106,9,24,18,30,2,07信義區,信義區永吉路336號前,0,1,3,B01,4,0,4,8,50,14,8
106,9,24,20,10,2,07信義區,信義區基隆路1段與忠孝東路4段口口,0,1,1,C03,2,21,3,8,50,4,2
106,9,24,20,10,2,07信義區,信義區基隆路1段與忠孝東路4段口口,0,1,2,C03,1,19,2,8,50,4,2
106,9,26,11,20,2,07信義區,信義區基隆路1段184-1號前,0,1,1,C03,1,23,2,8,50,14,8
106,9,26,11,20,2,07信義區,信義區基隆路1段184-1號前,0,1,2,B03,1,56,3,8,50,14,8
106,8,8,15,7,2,07信義區,信義區莊敬路467號,0,2,2,C03,2,32,2,8,40,14,9
106,8,14,15,23,2,07信義區,信義區松德路169巷20號,0,2,1,B02,1,26,3,8,40,14,9
106,8,14,15,23,2,07信義區,信義區松德路169巷20號,0,2,2,C03,1,20,2,8,40,14,9
106,8,14,15,23,2,07信義區,信義區松德路169巷20號,0,2,3,H03,2,33,2,8,40,14,9
106,8,15,10,39,2,07信義區,信義區忠孝東路5段781號,0,1,1,C03,2,27,2,8,50,14,9
106,8,15,10,39,2,07信義區,信義區忠孝東路5段781號,0,1,2,C03,1,49,4,8,50,14,9
106,8,15,10,39,2,07信義區,信義區忠孝東路5段781號,0,1,3,H02,2,34,4,8,50,14,9
106,8,15,14,4,2,07信義區,信義區基隆路2段193號,0,1,1,C03,1,27,2,8,50,14,9
106,8,15,14,4,2,07信義區,信義區基隆路2段193號,0,1,2,,3,0,,8,50,14,9
